scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,source_link
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kertayasa,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Mandiraja kulon,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Mandiraja wetan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Panggisari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Purwasaba,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Salamerta,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Simbang,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Somawangi,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Duren,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gentansari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gunungjati,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kebutuhduwur,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kebutuhjurang,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Lebakwangi,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pagedongan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pesangkalan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Twelagiri,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Aribaya,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Babadan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Bantar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gumingsir,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kalitlaga,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karangnangka,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karekan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kasmaran,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kayuares,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Larangan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Majasari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Metawana,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Nagasari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pagentan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Plumbungan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sokaraja,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Tegaljeruk,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Banjarmangu,Beji,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Lawen,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pandanarum,,http://corona.banjarnegarakab.go.id/
